fold,model,sample_id,best_fixed_method,fw_consensus_insertion_auc,best_fixed_method_insertion_auc,oracle_best_insertion_auc,fw_minus_best_fixed_method,fw_minus_oracle_best,uniform_consensus_insertion_auc,fw_minus_uniform
fold_1,deit_small,96439573_296385739_10_spinal_canal_stenosis_l1_l2,attention_rollout,0.9909221023321152,0.9905048847198488,0.9916982740163802,0.0004172176122664295,-0.0007761716842650257,0.990374967455864,0.0005471348762512429
fold_1,deit_small,96439573_557434766_13_right_neural_foraminal_narrowing_l1_l2,attention_rollout,0.8631691306829454,0.8888937532901765,0.8888937532901765,-0.025724622607231074,-0.025724622607231074,0.8612489342689515,0.0019201964139938799
fold_1,deit_small,96439573_1359869694_18_right_subarticular_stenosis_l3_l4,attention_rollout,0.881346520408988,0.8602167245000601,0.8602167245000601,0.02112979590892783,0.02112979590892783,0.869197067245841,0.012149453163146973
fold_1,deit_small,97086905_2413491771_14_right_subarticular_stenosis_l4_l5,attention_rollout,0.5236473582684994,0.4965403459966183,0.54378117993474,0.027107012271881115,-0.02013382166624056,0.5239836506545544,-0.0003362923860550371
fold_1,deit_small,97086905_2734164627_10_right_neural_foraminal_narrowing_l3_l4,attention_rollout,0.5570626378059388,0.604091200232506,0.604091200232506,-0.047028562426567166,-0.047028562426567166,0.5566914796829224,0.0003711581230163574
fold_1,deit_small,97634230_1763367570_8_left_subarticular_stenosis_l2_l3,attention_rollout,0.9387398913502693,0.9678178742527964,0.9678178742527964,-0.029077982902527166,-0.029077982902527166,0.9392391994595528,-0.0004993081092835583
fold_1,deit_small,97634230_3235809257_10_spinal_canal_stenosis_l3_l4,attention_rollout,0.9723872236907484,0.9562963925302028,0.9588565938174723,0.01609083116054555,0.013530629873276023,0.972287517040968,9.970664978031785e-05
fold_1,deit_small,97634230_3354355391_14_left_neural_foraminal_narrowing_l3_l4,attention_rollout,0.9651748575270176,0.9593204237520696,0.9651274867355822,0.005854433774947987,4.737079143535272e-05,0.963712964206934,0.0014618933200836182
fold_1,deit_small,109677683_710656432_13_right_subarticular_stenosis_l4_l5,attention_rollout,0.8611638188362121,0.8093257933855058,0.8293517023324967,0.05183802545070626,0.031812116503715404,0.8522067829966546,0.008957035839557426
fold_1,deit_small,109677683_1241324984_6_right_neural_foraminal_narrowing_l3_l4,attention_rollout,0.4704041793942451,0.4631862223148345,0.4722756445407867,0.007217957079410642,-0.0018714651465415733,0.4765377789735794,-0.006133599579334292
fold_1,deit_small,112166434_566852271_9_left_subarticular_stenosis_l2_l3,attention_rollout,0.8711150109767914,0.9202875584363938,0.9202875584363938,-0.04917254745960231,-0.04917254745960231,0.8706487387418748,0.000466272234916687
fold_1,deit_small,112166434_626858322_4_right_neural_foraminal_narrowing_l1_l2,attention_rollout,0.980631412565708,0.9807603135704994,0.981102739274502,-0.0001289010047914596,-0.0004713267087940176,0.9813792958855628,-0.0007478833198548696
fold_1,deit_small,112166434_2665773591_8_spinal_canal_stenosis_l2_l3,attention_rollout,0.9783218815922736,0.9835958555340768,0.9835958555340768,-0.005273973941803178,-0.005273973941803178,0.97936799377203,-0.0010461121797563644
fold_1,deit_small,113121178_577886028_11_spinal_canal_stenosis_l3_l4,attention_rollout,0.468686157464981,0.3594563812017441,0.7561453744769097,0.10922977626323688,-0.28745921701192867,0.4697291269898415,-0.001042969524860493
fold_1,deit_small,113121178_1716134218_16_left_neural_foraminal_narrowing_l3_l4,attention_rollout,0.9049687303602696,0.8640138365328313,0.8777207680046558,0.04095489382743833,0.027247962355613775,0.9026152141392232,0.0023535162210464033
fold_1,deit_small,113758629_2079378095_20_left_subarticular_stenosis_l2_l3,attention_rollout,0.9215980410575868,0.9576685488224028,0.9576685488224028,-0.03607050776481602,-0.03607050776481602,0.9201245188713072,0.0014735221862796077
fold_1,deit_small,113758629_2106961807_6_left_neural_foraminal_narrowing_l2_l3,attention_rollout,0.95025634765625,0.9588940173387528,0.9588940173387528,-0.008637669682502791,-0.008637669682502791,0.9485445320606232,0.001711815595626831
fold_1,deit_small,113758629_2635875824_9_spinal_canal_stenosis_l3_l4,attention_rollout,0.933249508589506,0.9461700670421124,0.9461700670421124,-0.012920558452606423,-0.012920558452606423,0.9318757854402064,0.0013737231492995106
fold_1,deit_small,114899184_1364910156_36_right_subarticular_stenosis_l4_l5,attention_rollout,0.8079713840037583,0.8352371592074632,0.8560407016426325,-0.02726577520370488,-0.04806931763887412,0.8221686396747828,-0.014197255671024478
fold_1,deit_small,114899184_1409087674_16_left_neural_foraminal_narrowing_l3_l4,attention_rollout,0.7830508522689343,0.7704739086329938,0.8312086753547192,0.01257694363594053,-0.04815782308578487,0.7884717427194118,-0.005420890450477445
fold_1,densenet121,11340341_1224932122_5_left_subarticular_stenosis_l1_l2,gradcam,0.9921505108475684,0.9916133359074591,0.9924646601080896,0.0005371749401092973,-0.0003141492605212015,,
fold_1,densenet121,11340341_2231042680_5_right_neural_foraminal_narrowing_l4_l5,gradcam,0.6261263739317655,0.585636867210269,0.693455358967185,0.04048950672149654,-0.06732898503541951,,
fold_1,densenet121,11340341_3543553307_10_spinal_canal_stenosis_l1_l2,gradcam,0.9902925789356232,0.9881683111190795,0.988844594359398,0.0021242678165436235,0.001447984576225192,,
fold_1,densenet121,59576878_1786504756_4_right_neural_foraminal_narrowing_l3_l4,gradcam,0.8857739269733429,0.8574003010988236,0.8877707660198212,0.028373625874519304,-0.0019968390464782937,,
fold_1,densenet121,59576878_2414228193_3_left_subarticular_stenosis_l1_l2,gradcam,0.9559395357966424,0.9569519713521004,0.9732739344239236,-0.0010124355554580466,-0.017334398627281256,,
fold_1,densenet121,73783367_1885677897_11_left_subarticular_stenosis_l1_l2,gradcam,0.971005031466484,0.9618829637765884,0.9861029624938964,0.009122067689895541,-0.015097931027412415,,
fold_1,densenet121,73783367_2087785373_5_left_neural_foraminal_narrowing_l1_l2,gradcam,0.9473324626684188,0.9319154739379882,0.9526439666748046,0.015416988730430514,-0.005311504006385803,,
fold_1,densenet121,73783367_2639788488_7_spinal_canal_stenosis_l1_l2,gradcam,0.960171800851822,0.9761523693799972,0.9782810002565384,-0.0159805685281752,-0.018109199404716447,,
fold_1,densenet121,88465004_2838498199_14_left_subarticular_stenosis_l3_l4,gradcam,0.3708743300288915,0.5017079691402614,0.5017079691402614,-0.13083363911136991,-0.13083363911136991,,
fold_1,densenet121,88465004_3579504941_13_left_neural_foraminal_narrowing_l1_l2,gradcam,0.980966117978096,0.978380337357521,0.9865108370780946,0.002585780620575018,-0.005544719099998652,,
fold_1,densenet121,96439573_296385739_10_spinal_canal_stenosis_l1_l2,gradcam,0.989618158340454,0.9849249571561812,0.9849249571561812,0.004693201184272744,0.004693201184272744,,
fold_1,densenet121,96439573_557434766_13_right_neural_foraminal_narrowing_l1_l2,gradcam,0.8666387557983399,0.8832390904426574,0.8832390904426574,-0.016600334644317427,-0.016600334644317427,,
fold_1,densenet121,96439573_1359869694_18_right_subarticular_stenosis_l3_l4,gradcam,0.7035720031708478,0.7060196889098733,0.7060196889098733,-0.00244768573902554,-0.00244768573902554,,
fold_1,densenet121,97086905_2413491771_14_right_subarticular_stenosis_l4_l5,gradcam,0.4425011709332466,0.4607292264699936,0.553165103495121,-0.018228055536747,-0.11066393256187446,,
fold_1,densenet121,97086905_2734164627_10_right_neural_foraminal_narrowing_l3_l4,gradcam,0.6049283653497695,0.5761025056242943,0.5790039569139481,0.028825859725475134,0.025924408435821333,,
fold_1,densenet121,97634230_1763367570_8_left_subarticular_stenosis_l2_l3,gradcam,0.9543390832841396,0.937579046934843,0.9681177131831646,0.01676003634929668,-0.013778629899025008,,
fold_1,densenet121,97634230_3235809257_10_spinal_canal_stenosis_l3_l4,gradcam,0.9160130992531778,0.8939373776316643,0.8939373776316643,0.0220757216215135,0.0220757216215135,,
fold_1,densenet121,97634230_3354355391_14_left_neural_foraminal_narrowing_l3_l4,gradcam,0.9038866735994816,0.8760307528078555,0.9346499837934972,0.027855920791626132,-0.03076331019401557,,
fold_1,densenet121,109677683_710656432_13_right_subarticular_stenosis_l4_l5,gradcam,0.5296775940805674,0.5369122431613504,0.5930665384978057,-0.007234649080783084,-0.0633889444172383,,
fold_1,densenet121,109677683_1241324984_6_right_neural_foraminal_narrowing_l3_l4,gradcam,0.625869220495224,0.5734226286411286,0.67857506275177,0.05244659185409539,-0.052705842256546065,,
fold_1,densenet121,112166434_566852271_9_left_subarticular_stenosis_l2_l3,gradcam,0.9343978546559812,0.9122451655566692,0.9476123444736004,0.022152689099312006,-0.01321448981761919,,
fold_1,densenet121,112166434_626858322_4_right_neural_foraminal_narrowing_l1_l2,gradcam,0.986463424563408,0.9856803178787232,0.9856803178787232,0.0007831066846847312,0.0007831066846847312,,
fold_1,densenet121,112166434_2665773591_8_spinal_canal_stenosis_l2_l3,gradcam,0.9753453738987444,0.9731578536331654,0.9731578536331654,0.0021875202655790016,0.0021875202655790016,,
fold_1,densenet121,113121178_577886028_11_spinal_canal_stenosis_l3_l4,gradcam,0.4372801147401333,0.4810288213193417,0.5078966654837133,-0.04374870657920843,-0.07061655074357998,,
