model,fold,method,deletion_auc,insertion_auc,source
convnext_blackbox,fold_1,gradcam++,0.6379562845292288,0.7012185313537096,artifacts\results\current\v4\rsna\dataset_no_npy\combined_xai_multifold\fold_1\convnext_blackbox\faithfulness_metrics.csv
convnext_blackbox,fold_1,gradient_shap,0.47596334813737,0.7766275313479516,artifacts\results\current\v4\rsna\dataset_no_npy\combined_xai_multifold\fold_1\convnext_blackbox\faithfulness_metrics.csv
convnext_blackbox,fold_1,guided_backprop,0.4801397557271023,0.7554381430313611,artifacts\results\current\v4\rsna\dataset_no_npy\combined_xai_multifold\fold_1\convnext_blackbox\faithfulness_metrics.csv
convnext_blackbox,fold_1,integrated_gradients,0.4731277578297692,0.7759805344213576,artifacts\results\current\v4\rsna\dataset_no_npy\combined_xai_multifold\fold_1\convnext_blackbox\faithfulness_metrics.csv
convnext_blackbox,fold_1,occlusion,0.5022712649535387,0.802455683927983,artifacts\results\current\v4\rsna\dataset_no_npy\combined_xai_multifold\fold_1\convnext_blackbox\faithfulness_metrics.csv
deit_small,fold_1,attention_rollout,0.5866376035188053,0.7695407811179757,artifacts\results\current\v4\rsna\dataset_no_npy\combined_xai_multifold\fold_1\deit_small\faithfulness_metrics.csv
deit_small,fold_1,gradcam,0.6594605553199848,0.6847547646292175,artifacts\results\current\v4\rsna\dataset_no_npy\combined_xai_multifold\fold_1\deit_small\faithfulness_metrics.csv
deit_small,fold_1,gradcam++,0.6480633823437771,0.6845322710281859,artifacts\results\current\v4\rsna\dataset_no_npy\combined_xai_multifold\fold_1\deit_small\faithfulness_metrics.csv
deit_small,fold_1,gradient_shap,0.5506135804395502,0.753191727069517,artifacts\results\current\v4\rsna\dataset_no_npy\combined_xai_multifold\fold_1\deit_small\faithfulness_metrics.csv
deit_small,fold_1,guided_backprop,0.5503296692289101,0.7428928659477582,artifacts\results\current\v4\rsna\dataset_no_npy\combined_xai_multifold\fold_1\deit_small\faithfulness_metrics.csv
deit_small,fold_1,integrated_gradients,0.5519317569260797,0.7455530629766484,artifacts\results\current\v4\rsna\dataset_no_npy\combined_xai_multifold\fold_1\deit_small\faithfulness_metrics.csv
deit_small,fold_1,occlusion,0.5683235189650829,0.7465013938310247,artifacts\results\current\v4\rsna\dataset_no_npy\combined_xai_multifold\fold_1\deit_small\faithfulness_metrics.csv
densenet121,fold_1,gradcam,0.5465666233620916,0.7633385110525026,artifacts\results\current\v4\rsna\dataset_no_npy\combined_xai_multifold\fold_1\densenet121\faithfulness_metrics.csv
densenet121,fold_1,gradcam++,0.5590127718007812,0.7576555591076612,artifacts\results\current\v4\rsna\dataset_no_npy\combined_xai_multifold\fold_1\densenet121\faithfulness_metrics.csv
densenet121,fold_1,gradient_shap,0.529020538931402,0.7487242615271825,artifacts\results\current\v4\rsna\dataset_no_npy\combined_xai_multifold\fold_1\densenet121\faithfulness_metrics.csv
densenet121,fold_1,guided_backprop,0.5095228863460943,0.759266794866237,artifacts\results\current\v4\rsna\dataset_no_npy\combined_xai_multifold\fold_1\densenet121\faithfulness_metrics.csv
densenet121,fold_1,integrated_gradients,0.5114271894919996,0.7352961517414077,artifacts\results\current\v4\rsna\dataset_no_npy\combined_xai_multifold\fold_1\densenet121\faithfulness_metrics.csv
densenet121,fold_1,occlusion,0.46786099322699004,0.737896691786591,artifacts\results\current\v4\rsna\dataset_no_npy\combined_xai_multifold\fold_1\densenet121\faithfulness_metrics.csv
efficientnet_b4,fold_1,gradcam,0.5104318853590308,0.7791313740352586,artifacts\results\current\v4\rsna\dataset_no_npy\combined_xai_multifold\fold_1\efficientnet_b4\faithfulness_metrics.csv
efficientnet_b4,fold_1,gradcam++,0.5516563950336227,0.7720820104215043,artifacts\results\current\v4\rsna\dataset_no_npy\combined_xai_multifold\fold_1\efficientnet_b4\faithfulness_metrics.csv
efficientnet_b4,fold_1,gradient_shap,0.5494912892865639,0.6343881050630007,artifacts\results\current\v4\rsna\dataset_no_npy\combined_xai_multifold\fold_1\efficientnet_b4\faithfulness_metrics.csv
efficientnet_b4,fold_1,guided_backprop,0.5601191894098495,0.5580801067593856,artifacts\results\current\v4\rsna\dataset_no_npy\combined_xai_multifold\fold_1\efficientnet_b4\faithfulness_metrics.csv
efficientnet_b4,fold_1,integrated_gradients,0.5405040617485453,0.5822594855692975,artifacts\results\current\v4\rsna\dataset_no_npy\combined_xai_multifold\fold_1\efficientnet_b4\faithfulness_metrics.csv
efficientnet_b4,fold_1,occlusion,0.5748391665621894,0.7345176968843832,artifacts\results\current\v4\rsna\dataset_no_npy\combined_xai_multifold\fold_1\efficientnet_b4\faithfulness_metrics.csv
resnet50,fold_1,gradcam,0.5536826457619511,0.7364003824066215,artifacts\results\current\v4\rsna\dataset_no_npy\combined_xai_multifold\fold_1\resnet50\faithfulness_metrics.csv
resnet50,fold_1,gradcam++,0.552947832101568,0.7389054015004852,artifacts\results\current\v4\rsna\dataset_no_npy\combined_xai_multifold\fold_1\resnet50\faithfulness_metrics.csv
resnet50,fold_1,gradient_shap,0.5914075653109855,0.7347621337386857,artifacts\results\current\v4\rsna\dataset_no_npy\combined_xai_multifold\fold_1\resnet50\faithfulness_metrics.csv
resnet50,fold_1,guided_backprop,0.5267990578846851,0.7285542267680479,artifacts\results\current\v4\rsna\dataset_no_npy\combined_xai_multifold\fold_1\resnet50\faithfulness_metrics.csv
