model,sample_idx,feature_autocorrelation,feature_total_variation,feature_entropy_norm,feature_coherence_score,feature_fragmentation_score
resnet50,48,0.6155516230078344,0.643862204896599,0.8334680666340636,0.37445451399410534,0.5366385870939137
resnet50,49,0.6518148501497723,0.5652355904551626,0.7971891068736537,0.41643242341571585,0.4505996555281534
resnet50,50,0.7207060019217337,0.5158830814980465,0.7157693769853228,0.47543640450786473,0.36925331184112525
resnet50,51,0.6911871620676439,0.5175470295849967,0.7242753810369756,0.45546342129288914,0.3748465720572284
resnet50,52,0.6820843020858848,0.5234060353711479,0.7109836114151941,0.4477363790407384,0.37213311326468757
resnet50,53,0.6219274545004859,0.5100364676984653,0.6834429016289985,0.41186253961694175,0.3485808034204441
resnet50,54,0.6112455451563092,0.5490364939149248,0.7353911393749737,0.3945972529100917,0.4037565728185374
resnet50,55,0.6487748959627149,0.547809506191271,0.7444667551581552,0.4191568105555635,0.40782596551900685
resnet50,56,0.59606753842379,0.5410842987911341,0.7381673347574257,0.3867845119772881,0.399410754717742
resnet50,57,0.6826130115087475,0.4991149329108116,0.6980999230490342,0.45534401434006594,0.34843209625766147
resnet50,58,0.5652435728198582,0.5326642486791099,0.7154906651229851,0.3687980412585469,0.3811162975746515
resnet50,59,0.6592411139794879,0.5083500323054237,0.7104138468551077,0.437061093154801,0.36113890199901433
resnet50,60,0.6474441942162689,0.5100882859052668,0.6877068251279221,0.42874592185061516,0.35079119563485484
resnet50,61,0.6562070812923841,0.5429303989209914,0.7478892824376733,0.42529921100218493,0.40605182646261995
resnet50,62,0.6146336225526168,0.4894404070764625,0.690071246056058,0.41266076818678904,0.33774875158143874
resnet50,63,0.6352688785701129,0.5226997050445766,0.7157441856889218,0.4171990553787594,0.37411927474697015
resnet50,64,0.7044596297218008,0.5688478911256106,0.7881000769002195,0.44902991150809907,0.44830906674062143
resnet50,65,0.6707377073555644,0.5890541150624065,0.784955777808405,0.4220987196079365,0.4623814310600529
resnet50,66,0.6875983710548983,0.5638025386085986,0.7717524429666646,0.4396964156783455,0.43511598652199324
resnet50,67,0.6236740774102182,0.5919453488774783,0.7806579704164526,0.3917685226129068,0.4621068546521511
resnet50,68,0.7062266751517807,0.6112247430601045,0.8320056773833578,0.43831667692148635,0.5085424563831912
resnet50,69,0.6364293077619331,0.6132611932269492,0.8142314315146957,0.39449861586821294,0.49933653925358923
resnet50,70,0.7081604214273978,0.5606128340924633,0.7951312809720412,0.45377072772774635,0.44576080090130676
resnet50,71,0.5935278016410832,0.6249112976474184,0.8383989002954582,0.3652678164650622,0.5239249447298033
resnet50,72,0.6115426197922214,0.5159040993552366,0.7244154719944321,0.40341774921799495,0.37372891163828614
resnet50,73,0.7088129822894423,0.5631840103549416,0.7805935991885804,0.45344180697478925,0.4396178336484226
resnet50,74,0.6521961887325008,0.5900691360183125,0.8044776720650065,0.4101684473705738,0.4746974449014217
resnet50,75,0.6736739374390299,0.563734692287426,0.755770732987218,0.43081089187423594,0.4260541816003917
resnet50,76,0.6580654655735995,0.521425289102664,0.7479634440696994,0.4325322250701684,0.39000705506226724
resnet50,77,0.6236728680103446,0.5036857120204333,0.7550038517913329,0.41476278122796295,0.38028465266768724
